"SourceProject","TargetProject","SourceIssueKey","TargetIssueKey","LinkDirection","SourceSummary","SourceStatus","SourceUpdated"
"DEP","CACS","DEP-1107","CACS-2940","Inbound","Follow up on CACS-2940 (Imperva DNS relics)","Ready for Work","08/21/2025 15:32:05"
"ACQ","COR","ACQ-3977","COR-459","Inbound","ACQ Feature Flag Cleanup (Rollout Flag)","Backlog","08/01/2025 13:33:44"
"ACQ","SIGN","ACQ-3974","SIGN-271","Outbound","Insta-Loan DM test","In Progress","09/23/2025 22:14:26"
"ACQ","CRSK","ACQ-3974","CRSK-2790","Inbound","Insta-Loan DM test","In Progress","09/23/2025 22:14:26"
"CDL","ME","CDL-6523","ME-460","Outbound","Cards Optout Automation Process","Backlog","09/26/2025 13:05:26"
"CDL","ME","CDL-6523","ME-461","Outbound","Cards Optout Automation Process","Backlog","09/26/2025 13:05:26"
"FORMS","INSO","FORMS-488","INSO-2283","Outbound","California – Adding the AHL Complaint Notice & Updating the TIC Complaint Notice Form","In Progress","09/23/2025 10:55:58"
"FORMS","ENGOPS","FORMS-488","ENGOPS-4620","Outbound","California – Adding the AHL Complaint Notice & Updating the TIC Complaint Notice Form","In Progress","09/23/2025 10:55:58"
"FORMS","E","FORMS-488","E-2025","Outbound","California – Adding the AHL Complaint Notice & Updating the TIC Complaint Notice Form","In Progress","09/23/2025 10:55:58"
"FORMS","INSO","FORMS-489","INSO-2248","Outbound","Michigan - Credit Involuntary Unemployment Certificate Revision","Ready for Work","09/22/2025 13:47:46"
"FORMS","ENGOPS","FORMS-489","ENGOPS-4707","Outbound","Michigan - Credit Involuntary Unemployment Certificate Revision","Ready for Work","09/22/2025 13:47:46"
"FORMS","E","FORMS-489","E-2025","Outbound","Michigan - Credit Involuntary Unemployment Certificate Revision","Ready for Work","09/22/2025 13:47:46"
"CDAD","CACS","CDAD-426","CACS-2941","Outbound","Create new Certs for aws-kibana.cybersecdev.onemain.io","Backlog","07/29/2025 08:48:14"
"DPSS","IMG","DPSS-1716","IMG-1920","Inbound","[API] Update DMS GraphQL model to support Document with pages or Lineage","Refinement","07/23/2025 12:25:06"
"INSO","FORMS","INSO-2299","FORMS-486","Inbound","US Disability & IUI claim forms & CPI Claim form updates, UMI2 update in CLASS","In Progress","09/18/2025 13:28:00"
"DBEAN","CISRE","DBEAN-2709","CISRE-1087","Inbound","Enable current loans and stg env on fdc01","Blocked","09/18/2025 10:46:16"
"DBEAN","PAY","DBEAN-2709","PAY-1971","Inbound","Enable current loans and stg env on fdc01","Blocked","09/18/2025 10:46:16"
"DBEAN","PAY","DBEAN-2709","PAY-1923","Inbound","Enable current loans and stg env on fdc01","Blocked","09/18/2025 10:46:16"
"DBEAN","OAE","DBEAN-2709","OAE-2360","Inbound","Enable current loans and stg env on fdc01","Blocked","09/18/2025 10:46:16"
"EMC","SRE","EMC-1228","SRE-2791","Inbound","EMC Handling for Microservices EKS alerts","Blocked","08/18/2025 10:05:13"
"SRE","EMC","SRE-3070","EMC-1115","Outbound","Add API ownership info to BigPanda","Backlog","09/26/2025 09:46:25"
"SRE","EMC","SRE-3070","EMC-626","Inbound","Add API ownership info to BigPanda","Backlog","09/26/2025 09:46:25"
"LAS","CES","LAS-3861","CES-4663","Inbound","Nesting of Adverse Action Letters","In Progress","08/11/2025 15:20:12"
"CARD","CDL","CARD-4357","CDL-6485","Outbound","Implement LexisNexis Fraud Intelligence as a Replacement for IDA ID Score","In Progress","08/14/2025 15:29:03"
"CARD","CDL","CARD-4357","CDL-6886","Outbound","Implement LexisNexis Fraud Intelligence as a Replacement for IDA ID Score","In Progress","08/14/2025 15:29:03"
"CARD","CDL","CARD-4357","CDL-6887","Outbound","Implement LexisNexis Fraud Intelligence as a Replacement for IDA ID Score","In Progress","08/14/2025 15:29:03"
"DPSS","FORMS","DPSS-1708","FORMS-439","Inbound","Template SAM1 display issue","Testing","07/16/2025 10:50:06"
"DEP","DPR","DEP-1090","DPR-34","Outbound","Fully powered gen-AI enabled KB for DevOps information","In Progress","09/19/2025 16:47:41"
"DEP","DPR","DEP-1090","DPR-35","Outbound","Fully powered gen-AI enabled KB for DevOps information","In Progress","09/19/2025 16:47:41"
"DEP","DPR","DEP-1090","DPR-36","Outbound","Fully powered gen-AI enabled KB for DevOps information","In Progress","09/19/2025 16:47:41"
"PAY","OAE","PAY-1864","OAE-2066","Inbound","Experimentation A/B/Multivariate Test - Display unique message to three different set of Current One Time Customers (Non Scheduled & Non AutoPay) in Account Summary [Business Story] [Q2][Q3][ERC5.S3]","In Progress","07/29/2025 16:12:34"
"CISRE","DEP","CISRE-1084","DEP-1099","Outbound","Setup OTel Collector Agent in Non-Prod Environments for Angular-Plaid (client-side only app)","Backlog","07/31/2025 12:51:46"
"LAS","PSM","LAS-3839","PSM-402","Outbound","Decommission Obsolete MKTG Easytrieve Programs #4","In Progress","09/24/2025 14:49:41"
"LAS","PSM","LAS-3839","PSM-445","Outbound","Decommission Obsolete MKTG Easytrieve Programs #4","In Progress","09/24/2025 14:49:41"
"DS","ONE","DS-395","ONE-218","Inbound","Build CX Tile Button in DS repo","Backlog","07/14/2025 11:33:06"
"DS","ONE","DS-400","ONE-219","Inbound","Build CX Skeleton Loader in DS repo","Backlog","07/14/2025 11:41:09"
"DS","ONE","DS-401","ONE-217","Inbound","DS: Build CX Modal in DS repo","In Progress","08/11/2025 09:55:29"
"INSO","FORMS","INSO-2283","FORMS-488","Inbound","California – Adding the AHL Complaint Notice & Updating the TIC Complaint Notice Form ","In Progress","08/12/2025 15:37:56"
"INSO","FORMS","INSO-2280","FORMS-483","Inbound","Illinois – Life and Disability Certificate Revision and Life Rate Change","In Progress","09/09/2025 09:31:02"
"CACS","MCCE","CACS-2849","MCCE-1840","Inbound","Customer Communications team needs Contact Pro IP address added to whitelist in WAF for production account","Blocked","09/24/2025 15:13:05"
"PDS","CES","PDS-3252","CES-7712","Outbound","Work with Network to test GSLB for Pulse","In Progress","08/26/2025 12:52:19"
"EMC","SRE","EMC-1207","SRE-2949","Inbound","Aruba/Silverpeak Alerting","Backlog","08/28/2025 10:11:02"
"EMC","SRE","EMC-1208","SRE-3032","Outbound","PayNearMe Alerting","Backlog","08/28/2025 10:10:53"
"EMC","SRE","EMC-1208","SRE-3053","Inbound","PayNearMe Alerting","Backlog","08/28/2025 10:10:53"
"EMC","SRE","EMC-1209","SRE-3033","Inbound","Arista Alerting","Backlog","08/28/2025 10:10:29"
"EMC","SRE","EMC-1210","SRE-2535","Inbound","Mulesoft Alerting","Backlog","08/28/2025 10:10:39"
"COMMS","MCCE","COMMS-3676","MCCE-444","Outbound","SMS Architecture Discovery & Rationalization","In Progress","07/30/2025 20:17:06"
"POP","EMC","POP-438","EMC-961","Outbound","Assess Monitoring Coverage for ContactPro","Backlog","08/21/2025 09:56:17"
"POP","EMC","POP-442","EMC-961","Outbound","Assess Monitoring Coverage for Sinch – Chatlayer","Backlog","08/21/2025 09:56:17"
"POP","EMC","POP-440","EMC-961","Outbound","Assess Monitoring Coverage for Sinch – Conversation API","Backlog","08/21/2025 09:56:17"
"EMC","SRE","EMC-1204","SRE-2529","Inbound","eSignature Alerting","In Progress","08/12/2025 10:35:02"
"SRE","EMC","SRE-2928","EMC-440","Outbound","Review Grafana Dashboards, Plugins, and Alerts - Initial cleanup for 2025","In Progress","09/16/2025 14:22:29"
"SRE","EMC","SRE-2928","EMC-541","Outbound","Review Grafana Dashboards, Plugins, and Alerts - Initial cleanup for 2025","In Progress","09/16/2025 14:22:29"
"SRE","EMC","SRE-2928","EMC-550","Inbound","Review Grafana Dashboards, Plugins, and Alerts - Initial cleanup for 2025","In Progress","09/16/2025 14:22:29"
"CAD","CBRE","CAD-3539","CBRE-1169","Inbound","Modify SQL databases for New LDAP Endpoint","Ready for Work","09/17/2025 10:27:11"
"MCCP","MCLD","MCCP-663","MCLD-752","Outbound","Define business KPIs requirements for consent change trends","Backlog","07/31/2025 19:17:08"
"MCCP","ACQ","MCCP-657","ACQ-3944","Outbound","Ops Research Request: TCPA Consent Changes During June","In Progress","09/19/2025 13:04:13"
"MCCP","ACQ","MCCP-657","ACQ-3719","Inbound","Ops Research Request: TCPA Consent Changes During June","In Progress","09/19/2025 13:04:13"
"MCCP","ACQ","MCCP-657","ACQ-3943","Inbound","Ops Research Request: TCPA Consent Changes During June","In Progress","09/19/2025 13:04:13"
"DCI","AI","DCI-2054","AI-2565","Inbound","SAS Server Request for Upgrade","Backlog","08/27/2025 17:48:25"
"DCI","AI","DCI-2054","AI-2575","Inbound","SAS Server Request for Upgrade","Backlog","08/27/2025 17:48:25"
"DCI","AI","DCI-2054","AI-2576","Inbound","SAS Server Request for Upgrade","Backlog","08/27/2025 17:48:25"
"DCI","AI","DCI-2054","AI-2577","Inbound","SAS Server Request for Upgrade","Backlog","08/27/2025 17:48:25"
"ENGOPS","AUT","ENGOPS-2952","AUT-2082","Outbound","AUT-2082-[team-portal] Add date to the file upload display on team member portal-UAT Oct 7th release","Backlog","09/25/2025 10:03:28"
"ACQE","DBA","ACQE-295","DBA-1787","Inbound","FK: Handle clarity_reports → applications dependency during Applicant-data deletion","Blocked","07/07/2025 14:16:12"
"CISRE","CACS","CISRE-1055","CACS-2895","Inbound","Map AWS service accounts through GitHub projects","Backlog","07/01/2025 13:45:22"
"ENGOPS","PAY","ENGOPS-2909","PAY-1796","Outbound","PAY-1796_Enforce approval process between check generation and printing (Phase 1)[ERC6.S1]_UAT","Backlog","08/05/2025 10:35:44"
"ACQE","SRE","ACQE-312","SRE-2873","Inbound","Acquisition Infrastructure Monitoring","Backlog","07/28/2025 15:16:13"
"MCLD","MCCP","MCLD-1579","MCCP-554","Inbound","Load Event Data from CMDS to Snowflake","Testing","09/24/2025 09:22:29"
"CCP","CARD","CCP-594","CARD-4148","Outbound","[Prod]-Preferences File Upload For Phone Number Correction","Testing","07/01/2025 03:05:50"
"CACS","CAPS","CACS-2875","CAPS-636","Outbound","Fix the Dazz Dashboard","Backlog","07/24/2025 09:34:32"
"CACS","CAPS","CACS-2875","CAPS-637","Inbound","Fix the Dazz Dashboard","Backlog","07/24/2025 09:34:32"
"CACS","CAPS","CACS-2875","CAPS-627","Inbound","Fix the Dazz Dashboard","Backlog","07/24/2025 09:34:32"
"CACS","CAPS","CACS-2875","CAPS-624","Inbound","Fix the Dazz Dashboard","Backlog","07/24/2025 09:34:32"
"AUT","ENGOPS","AUT-2082","ENGOPS-2952","Inbound","[team-portal] Add date to the file upload display on team member portal","Acceptance","09/25/2025 09:21:04"
"OAE","ONE","OAE-2187","ONE-81","Inbound","Define Compliance & Approval Process","Backlog","06/24/2025 11:58:17"
"AUT","COR","AUT-2070","COR-459","Inbound","AUTO Feature Flag Cleanup (Rollout Flag)","In Progress","09/23/2025 11:51:29"
"PAY","COR","PAY-1807","COR-459","Inbound","Payment Feature Flag Cleanup (Rollout Flag)","Backlog","08/25/2025 19:05:23"
"COL","COR","COL-2567","COR-459","Inbound","Collections Feature Flag Cleanup (Rollout Flag)","Backlog","08/01/2025 13:32:54"
"CAPE","COR","CAPE-962","COR-459","Inbound","Credit and Pricing Feature Flag Cleanup (Rollout Flag)","In Progress","08/06/2025 12:33:03"
"CDL","CARD","CDL-6093","CARD-4099","Outbound","Updating Looker Dashboard reflecting Ascend changes ","Testing","09/25/2025 05:33:24"
"CDL","CARD","CDL-6093","CARD-4051","Inbound","Updating Looker Dashboard reflecting Ascend changes ","Testing","09/25/2025 05:33:24"
"INSO","FORMS","INSO-2250","FORMS-473","Inbound","OHIO INVOLUNTARY UNEMPLOYMENT INSURANCE (IUI) CERTIFICATE FORM CHANGES","In Progress","08/12/2025 15:47:57"
"CARD","CDL","CARD-4051","CDL-6093","Outbound","Ascend Marketing platform POC","Backlog","06/23/2025 12:46:29"
"CARD","CDL","CARD-4051","CDL-6094","Outbound","Ascend Marketing platform POC","Backlog","06/23/2025 12:46:29"
"CARD","CDL","CARD-4051","CDL-6113","Outbound","Ascend Marketing platform POC","Backlog","06/23/2025 12:46:29"
"DEP","DE","DEP-1063","DE-1782","Inbound","Karpenter Configuration Evaluation","Ready for Work","09/26/2025 15:24:48"
"UX","ACQ","UX-1491","ACQ-3951","Outbound","Update consents to include DSA notice","In Progress","07/21/2025 10:11:43"
"PDS","DCI","PDS-3211","DCI-1885","Outbound","Migrate WAS Apps to new Ldap pools","In Progress","09/16/2025 22:45:56"
"COMP","FORMS","COMP-441","FORMS-87","Outbound","COMP - All States – Install New AHL/Triton/SLIC Electronic Consent Forms - Create New Insurance Table (MDCMS COMP-51)","Refinement","09/25/2025 10:35:00"
"DEP","DPR","DEP-1042","DPR-29","Outbound","Implement POC of Internal Developer Portal Options","In Progress","07/24/2025 09:27:26"
"INSO","FORMS","INSO-2248","FORMS-489","Inbound","Michigan - Credit Involuntary Unemployment Certificate Revision","In Progress","09/17/2025 17:40:33"
"UPT","ONE","UPT-871","ONE-66","Outbound","MPD: subscription-cancellation-tile","Backlog","07/22/2025 22:00:50"
"UPT","ONE","UPT-872","ONE-65","Outbound","MPD: bill-negotiation-tile","Backlog","07/22/2025 22:00:53"
"UPT","ONE","UPT-873","ONE-73","Outbound","MPD: trim-tools-tile","Backlog","07/22/2025 22:00:57"
"ACM","STG","ACM-976","STG-7","Outbound","Cards Quanta - B1 - Quanta - Stage 7 - QA/ Regression","Testing","09/23/2025 21:04:20"
"ACM","STG","ACM-976","STG-7","Outbound","Cards Quanta - B1 - Quanta - Stage 7 - QA/ Regression","Testing","09/23/2025 21:04:20"
"ACM","STG","ACM-976","STG-7","Outbound","Cards Quanta - B1 - Quanta - Stage 7 - QA/ Regression","Testing","09/23/2025 21:04:20"
"ACM","STG","ACM-976","STG-7","Outbound","Cards Quanta - B1 - Quanta - Stage 7 - QA/ Regression","Testing","09/23/2025 21:04:20"
"CES","CARD","CES-7374","CARD-3865","Outbound","Set up Model Hosting Microservice, CI/CD Pipeline, and Environment Configuration","In Progress","06/17/2025 06:28:04"
"MCLD","MCCP","MCLD-1510","MCCP-513","Outbound","Outbound COLL Vendor From CMDS","Backlog","07/28/2025 17:26:28"
"CNE","CACS","CNE-3023","CACS-3013","Outbound","Investigate slowness with foursight sites","In Progress","08/01/2025 11:53:58"
"CNE","CACS","CNE-3023","CACS-3019","Outbound","Investigate slowness with foursight sites","In Progress","08/01/2025 11:53:58"
"DPR","DEP","DPR-36","DEP-1090","Inbound","DevOps AI Powered ChatBot V3","Parking lot","09/19/2025 14:49:40"
"DPR","DEP","DPR-36","DEP-1189","Inbound","DevOps AI Powered ChatBot V3","Parking lot","09/19/2025 14:49:40"
"MCCP","ACQ","MCCP-642","ACQ-3898","Outbound","Preference Center Failures reported by ACQ","In Progress","09/19/2025 12:54:53"
"MCCP","ACQ","MCCP-642","ACQ-3719","Inbound","Preference Center Failures reported by ACQ","In Progress","09/19/2025 12:54:53"
"DPR","DEP","DPR-34","DEP-1090","Inbound","DevOps AI Powered Chatbot ","Parking lot","09/19/2025 14:50:25"
"DPR","DEP","DPR-34","DEP-1188","Inbound","DevOps AI Powered Chatbot ","Parking lot","09/19/2025 14:50:25"
"CNE","CAPS","CNE-3021","CAPS-1183","Outbound","Properly implement SureRoute for all OMF Akamai protected sites","Backlog","09/24/2025 12:23:41"
"DPR","DEP","DPR-35","DEP-1090","Inbound","DevOps AI Powered ChatBot V2","Parking lot","09/19/2025 14:52:04"
"DPR","DEP","DPR-35","DEP-1190","Inbound","DevOps AI Powered ChatBot V2","Parking lot","09/19/2025 14:52:04"
"ACQE","WACQE","ACQE-263","WACQE-7","Inbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-10""","Backlog","06/24/2025 08:53:30"
"ACQE","WACQE","ACQE-263","WACQE-8","Inbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-10""","Backlog","06/24/2025 08:53:30"
"ACQE","WACQE","ACQE-264","WACQE-7","Outbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-8""","Backlog","06/24/2025 08:53:31"
"ACQE","WACQE","ACQE-264","WACQE-10","Outbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-8""","Backlog","06/24/2025 08:53:31"
"ACQE","WACQE","ACQE-264","WACQE-7","Inbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-8""","Backlog","06/24/2025 08:53:31"
"ACQE","WACQE","ACQE-264","WACQE-19","Inbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-8""","Backlog","06/24/2025 08:53:31"
"ACQE","WACQE","ACQE-265","WACQE-7","Outbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-19""","Backlog","06/24/2025 08:53:33"
"ACQE","WACQE","ACQE-265","WACQE-8","Outbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-19""","Backlog","06/24/2025 08:53:33"
"ACQE","WACQE","ACQE-265","WACQE-7","Inbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-19""","Backlog","06/24/2025 08:53:33"
"ACQE","WACQE","ACQE-265","WACQE-20","Inbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-19""","Backlog","06/24/2025 08:53:33"
"ACQE","WACQE","ACQE-266","WACQE-7","Outbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-20""","Backlog","06/24/2025 08:53:34"
"ACQE","WACQE","ACQE-266","WACQE-19","Outbound","[LEGACY CLEANUP] Review Block: ""[WACQE-7] Items related to WACQE-20""","Backlog","06/24/2025 08:53:34"
"ACQE","WACQE","ACQE-267","WACQE-7","Outbound","[LEGACY CLEANUP] Review Block: ""[ACQE-7] Items related to ACQE-21""","In Progress","09/23/2025 11:24:46"
"ACQE","WACQE","ACQE-267","WACQE-20","Outbound","[LEGACY CLEANUP] Review Block: ""[ACQE-7] Items related to ACQE-21""","In Progress","09/23/2025 11:24:46"
"MCCE","CACS","MCCE-1840","CACS-2849","Outbound","AWS : Investigate Contact Pro API calls to the notify_window API/endpoint are being blocked by AWS WAF","In Progress","09/24/2025 18:38:23"
"MCCE","CACS","MCCE-1840","CACS-2790","Outbound","AWS : Investigate Contact Pro API calls to the notify_window API/endpoint are being blocked by AWS WAF","In Progress","09/24/2025 18:38:23"
"DBEAN","OAE","DBEAN-2699","OAE-2133","Inbound","Credit Card Tab for OneApp","Backlog","09/02/2025 14:29:40"
"DBEAN","OAE","DBEAN-2699","OAE-2133","Inbound","Credit Card Tab for OneApp","Backlog","09/02/2025 14:29:40"
"DBEAN","OAE","DBEAN-2700","OAE-2133","Inbound","OneApp - No Card Offer - Marketing Page Display","Refinement","09/24/2025 17:09:28"
"DBEAN","OAE","DBEAN-2701","OAE-2133","Inbound","OneApp - Pre-Approved Card Offer Display","Refinement","09/24/2025 17:08:17"
"DBEAN","OAE","DBEAN-2702","OAE-2133","Inbound","OneApp - Existing Card Customer Experience","Refinement","09/24/2025 16:17:43"
"ONE","OAE","ONE-81","OAE-2187","Outbound","ONE: Core Tile Elements - Loan Tile for OneApp Dashboard (new APIs)","Acceptance","09/25/2025 08:43:30"
"CJI","OAE","CJI-144","OAE-2066","Inbound","AB Testing Program - Servicing Lane","Backlog","06/24/2025 16:12:57"
"SRE","EMC","SRE-2814","EMC-1145","Outbound","Grafana 12 Update ","In Progress","08/08/2025 14:33:04"
"SRE","CI","SRE-2814","CI-1970","Outbound","Grafana 12 Update ","In Progress","08/08/2025 14:33:04"
"CNE","CACS","CNE-3003","CACS-3013","Outbound","Add missing foursight domains to akamai","In Progress","08/01/2025 11:53:58"
"CNE","CACS","CNE-3003","CACS-3019","Outbound","Add missing foursight domains to akamai","In Progress","08/01/2025 11:53:58"
"OAE","DBEAN","OAE-2133","DBEAN-2699","Outbound","Cross-Sell Offer Tiles for OneApp MVP Dashboard","Backlog","06/24/2025 10:22:27"
"OAE","DBEAN","OAE-2133","DBEAN-2701","Outbound","Cross-Sell Offer Tiles for OneApp MVP Dashboard","Backlog","06/24/2025 10:22:27"
"OAE","DBEAN","OAE-2133","DBEAN-2700","Outbound","Cross-Sell Offer Tiles for OneApp MVP Dashboard","Backlog","06/24/2025 10:22:27"
"OAE","DBEAN","OAE-2133","DBEAN-2699","Outbound","Cross-Sell Offer Tiles for OneApp MVP Dashboard","Backlog","06/24/2025 10:22:27"
"OAE","DBEAN","OAE-2133","DBEAN-2702","Outbound","Cross-Sell Offer Tiles for OneApp MVP Dashboard","Backlog","06/24/2025 10:22:27"
"MCCP","MCLNE","MCCP-629","MCLNE-1230","Inbound","Inconsistent Handling of contactStatus for phoneNumbers present in collection_dnc but not in CMDS","Ready for Work","06/10/2025 10:21:34"
"MCCP","MCLNE","MCCP-629","MCLNE-1229","Inbound","Inconsistent Handling of contactStatus for phoneNumbers present in collection_dnc but not in CMDS","Ready for Work","06/10/2025 10:21:34"
"CES","ESDL","CES-7197","ESDL-2820","Outbound","Plaid Data Asset Refresh Pull for Q1 Applications - Offline Batch Analytics Project","In Progress","08/11/2025 16:52:24"
"CES","ESDL","CES-7197","ESDL-2823","Outbound","Plaid Data Asset Refresh Pull for Q1 Applications - Offline Batch Analytics Project","In Progress","08/11/2025 16:52:24"
"DBEAN","OAE","DBEAN-2572","OAE-2129","Inbound","Dev task - Document all possible BE errors that appear across Current Loans","Backlog","06/03/2025 14:10:50"
"OAE","DBEAN","OAE-2129","DBEAN-2572","Outbound","Dev task - Document all possible BE errors that appear across Loan Dashboard","Backlog","06/03/2025 14:10:23"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"ACM","COL","ACM-878","COL-1","Inbound","COL - V8 Deployment and Launch","In Progress","09/23/2025 22:59:37"
"DEP","DPR","DEP-978","DPR-32","Outbound","Impact Zones - IAM Improvement - JIT privilege escalation","Backlog","06/30/2025 11:04:49"
"DEP","DPR","DEP-979","DPR-32","Outbound","Impact Zones - Namespace Env - Establish namespaces  in Svcshub ","Backlog","06/30/2025 11:05:02"
"DEP","DCI","DEP-961","DCI-1989","Inbound","High Level Scope and Size the Effort to Connect AWS to Rubrik","Refinement","09/23/2025 11:12:34"
"CCP","CARD","CCP-567","CARD-3797","Inbound","Create an endpoint on API gateway to connect to BFF service (NON-PROD) ","Testing","06/25/2025 04:56:19"
"CCP","CARD","CCP-568","CARD-3797","Inbound","Create an endpoint on API gateway to connect to BFF service (PROD)","Testing","06/25/2025 04:58:47"
"CACS","CAPS","CACS-2896","CAPS-1118","Inbound","Discover how to create a 404 drop rule using geoip","Ready for Work","07/21/2025 14:16:47"
"SRE","EMC","SRE-2789","EMC-729","Outbound","Review Microservice Dashboards and Alerting","Backlog","08/14/2025 09:35:32"
"CRSK","CAPE","CRSK-2532","CAPE-928","Inbound","Instrument Strategy Manager Credit Rules with OTel","Backlog","09/05/2025 13:26:11"
"CAPE","CRSK","CAPE-928","CRSK-2532","Outbound","Instrument Strategy Manager Pricing Rules with OTel","Backlog","09/05/2025 13:26:24"
"EMC","DCOM","EMC-1119","DCOM-733","Inbound","Ingest Noble/Alvaria Dialer emails into BigPanda","Acceptance","08/12/2025 10:12:07"
"CCP","CARD","CCP-556","CARD-3543","Outbound","Update an endpoint on API Gateway to add authentication (Non-Prod)","Testing","06/04/2025 15:23:28"
"CCP","CARD","CCP-557","CARD-3543","Outbound","Update an endpoint on API Gateway to add authentication (Prod)","Testing","06/03/2025 11:14:35"
"DPSS","ENGOPS","DPSS-1469","ENGOPS-2988","Outbound","[CLASS]SPIKE: Gather all data elements to be sent from CLASS for the DOC-GEN - Form Tags","Testing","07/15/2025 08:31:26"
"DPSS","E","DPSS-1469","E-2025","Outbound","[CLASS]SPIKE: Gather all data elements to be sent from CLASS for the DOC-GEN - Form Tags","Testing","07/15/2025 08:31:26"
"UN","CIA","UN-148","CIA-1572","Inbound","Update Okta with Universal User ID","Blocked","09/17/2025 12:46:37"
"UN","CIA","UN-148","CIA-1827","Inbound","Update Okta with Universal User ID","Blocked","09/17/2025 12:46:37"
"PLAT","PLAQ","PLAT-137","PLAQ-971","Inbound","ST: Document Generation","Backlog","06/03/2025 09:42:04"
"IAM","DCI","IAM-3418","DCI-1640","Inbound","Active Directory Cleanup","Backlog","05/22/2025 08:28:19"
"IAM","DCI","IAM-3418","DCI-1616","Inbound","Active Directory Cleanup","Backlog","05/22/2025 08:28:19"
"IAM","DCI","IAM-3418","DCI-1636","Inbound","Active Directory Cleanup","Backlog","05/22/2025 08:28:19"
"EMC","SRE","EMC-1106","SRE-2654","Inbound","Document Elastic APM alerts for eSign","Backlog","07/09/2025 11:30:35"
"INSO","FORMS","INSO-2204","FORMS-342","Inbound","Maine – Add Silver Safeguard Product and Add a 1 Year Plan for Home & Auto Plus and Auto Plus","In Progress","09/18/2025 08:48:06"
"DEP","DPR","DEP-934","DPR-27","Outbound","Atlantis","Backlog","06/11/2025 11:42:39"
"CISRE","SRE","CISRE-1001","SRE-3045","Outbound","Update API keys for Jenkins integrations with BigPanda","In Progress","09/09/2025 17:16:28"
"CISRE","SRE","CISRE-1001","SRE-3046","Inbound","Update API keys for Jenkins integrations with BigPanda","In Progress","09/09/2025 17:16:28"
"LAS","PSM","LAS-2174","PSM-452","Outbound","Test System: Verify accounts before loading during refresh","Testing","09/24/2025 16:41:25"
"DCI","DEP","DCI-1989","DEP-961","Outbound","Connect AWS to Rubrik","Ready for Work","06/20/2025 08:10:05"
"DS","ONE","DS-331","ONE-268","Inbound","CX Tile Button","In Progress","08/06/2025 11:38:26"
"PAY","ENGOPS","PAY-1613","ENGOPS-2264","Inbound","Test & Deploy - Bankruptcy Messaging Update for Chapter 7 Accounts - Account Summary [PAY2][Q2][ERC5.S3]","Blocked","09/17/2025 10:54:36"
"PLAT","PLAQ","PLAT-113","PLAQ-1036","Outbound","Implement Document File Upload Preparation Mutation (change to upload directly to box)","Refinement","05/30/2025 14:18:23"
"PLAT","PLAQ","PLAT-113","PLAQ-1035","Outbound","Implement Document File Upload Preparation Mutation (change to upload directly to box)","Refinement","05/30/2025 14:18:23"
"ENGOPS","PAY","ENGOPS-2264","PAY-1153","Outbound","PAY-1613 (PAY-1153)_Bankruptcy Messaging Update for Chapter 7 Accounts - Account Summary [PAY2][Q2][ERC6.S2]_UAT","Blocked","08/04/2025 16:52:38"
